Date,Open,High,Low,Close,Adj Close,Volume
2020-11-05,57.770000,60.320000,57.630001,60.169998,60.169998,4516500
2020-11-06,59.810001,59.980000,58.200001,58.570000,58.570000,4250900
2020-11-09,73.269997,78.860001,71.239998,75.430000,75.430000,27736800
2020-11-10,74.029999,74.629997,71.360001,73.730003,73.730003,11446100
2020-11-11,73.809998,73.919998,69.699997,70.879997,70.879997,10404000
2020-11-12,68.070000,71.120003,67.669998,68.099998,68.099998,6968100
2020-11-13,69.349998,71.129997,68.650002,70.610001,70.610001,4567000
2020-11-16,75.790001,77.230003,74.019997,75.500000,75.500000,12110100
2020-11-17,74.610001,76.739998,73.739998,75.339996,75.339996,5924500
2020-11-18,74.110001,76.489998,74.050003,74.129997,74.129997,5810000
2020-11-19,73.849998,75.050003,73.220001,74.440002,74.440002,3532400
2020-11-20,74.720001,75.139999,72.529999,72.580002,72.580002,4593000
2020-11-23,73.559998,76.449997,73.559998,75.779999,75.779999,4973100
2020-11-24,79.129997,82.589996,78.339996,81.629997,81.629997,8096200
2020-11-25,80.449997,81.629997,79.470001,80.080002,80.080002,5114000
2020-11-27,80.580002,82.150002,80.430000,81.480003,81.480003,2194300
2020-11-30,82.000000,82.000000,77.699997,78.809998,78.809998,5833900
2020-12-01,80.000000,80.680000,78.150002,78.290001,78.290001,3469200
2020-12-02,77.360001,81.370003,75.970001,80.639999,80.639999,3845200
2020-12-03,81.239998,85.099998,81.019997,84.400002,84.400002,5937600
2020-12-04,83.000000,83.750000,80.430000,82.730003,82.730003,8543100
2020-12-07,82.250000,82.440002,80.300003,81.620003,81.620003,5566400
2020-12-08,80.669998,83.849998,80.510002,82.830002,82.830002,4374300
2020-12-09,83.910004,84.970001,80.870003,82.370003,82.370003,6767500
2020-12-10,80.750000,82.620003,80.349998,80.639999,80.639999,4513000
2020-12-11,80.989998,81.459999,76.260002,76.459999,76.459999,6149100
2020-12-14,78.809998,79.430000,73.949997,74.059998,74.059998,6263400
2020-12-15,74.650002,74.709999,70.750000,74.050003,74.050003,7261100
2020-12-16,74.059998,74.639999,72.349998,73.650002,73.650002,3570000
2020-12-17,74.019997,74.480003,72.610001,73.940002,73.940002,3298300
2020-12-18,73.739998,74.489998,71.580002,72.290001,72.290001,4961400
2020-12-21,69.010002,72.239998,68.750000,71.820000,71.820000,4991100
2020-12-22,71.820000,71.879997,68.570000,69.690002,69.690002,4562300
2020-12-23,70.150002,72.870003,70.110001,71.419998,71.419998,3764200
2020-12-24,71.750000,71.849998,70.070000,70.660004,70.660004,1712400
2020-12-28,71.900002,73.989998,71.199997,72.889999,72.889999,3917600
2020-12-29,74.059998,74.400002,70.860001,71.599998,71.599998,3461300
2020-12-30,71.599998,74.070000,71.190002,73.750000,73.750000,4429400
2020-12-31,73.500000,75.750000,71.199997,74.690002,74.690002,6275500
2021-01-04,74.800003,75.239998,69.889999,70.720001,70.720001,5732800
